year,region_code,region_name,carrier,conso_totale_mwh,nb_sites,habitants
2019,28,Normandie,Electricité,24802414.84576462,2002779.0,
2019,28,Normandie,Gaz,44385647.54952,537093.0,
2019,32,Hauts-de-France,Electricité,43809598.00457044,3165618.0,
2019,32,Hauts-de-France,Gaz,71266919.45451,1438299.0,
2019,44,Grand Est,Electricité,40666762.41899681,3235761.0,
2019,44,Grand Est,Gaz,73691504.45967,1169057.0,
2019,52,Pays de la Loire,Electricité,24438464.462678127,2273416.0,
2019,52,Pays de la Loire,Gaz,24440337.62134,627967.0,
2019,53,Bretagne,Electricité,21148916.541822314,2146976.0,
2019,53,Bretagne,Gaz,16165341.8161,516963.0,
2019,75,Nouvelle-Aquitaine,Electricité,37889055.877758175,3932259.0,
2019,75,Nouvelle-Aquitaine,Gaz,27742839.6420438,1020456.0,
2019,76,Occitanie,Electricité,34312500.33880893,3985672.0,
2019,76,Occitanie,Gaz,18966763.991224002,891883.0,
2019,84,Auvergne-Rhône-Alpes,Electricité,60062618.28612267,5086092.0,
2019,84,Auvergne-Rhône-Alpes,Gaz,50825689.62908,1371097.0,
2019,93,Provence-Alpes-Côte d'Azur,Electricité,36070799.411219284,3520812.0,
2019,93,Provence-Alpes-Côte d'Azur,Gaz,43337016.298,722959.0,
2019,94,Corse,Electricité,1982929.3199999998,258846.0,
2020,1,Guadeloupe,Electricité,1476018.748,216703.0,
2020,2,Martinique,Electricité,1368906.276,201557.0,
2020,3,Guyane,Electricité,823120.2309999999,74100.0,
2020,4,La Réunion,Electricité,2723705.9239999996,405599.0,
2020,6,Mayotte,Electricité,344312.5726,49063.0,
2020,11,Île-de-France,Electricité,62089556.53545116,6676424.0,
2020,11,Île-de-France,Gaz,67014559.09794,2532693.0,
2020,24,Centre-Val de Loire,Electricité,16232896.68128799,1554687.0,
2020,24,Centre-Val de Loire,Gaz,14140821.48526,463340.0,
2020,27,Bourgogne-Franche-Comté,Electricité,18153334.771463845,1756742.0,
2020,27,Bourgogne-Franche-Comté,Gaz,18120305.62309,507664.0,
2020,28,Normandie,Electricité,23938191.831331324,2008505.0,
2020,28,Normandie,Gaz,41901572.30066,538084.0,
2020,32,Hauts-de-France,Electricité,41935014.864111766,3173620.0,
